,Вакансия,Зарплата,Ссылка
0,Инженер ПТО (вахта),от 114 000 руб.,https://www.rabota.ru/vacancy/43861245/?search_id=162896888095522krf56ssvl
1,Сварщик НАКС (вахта),114 000 — 120 000 руб.,https://www.rabota.ru/vacancy/43946005/?search_id=162896888095522krf56ssvl
2,Геодезист,135 000 — 150 000 руб.,https://www.rabota.ru/vacancy/43831774/?search_id=162896888095522krf56ssvl
3,Арматурщик,100 000 — 120 000 руб.,https://www.rabota.ru/vacancy/44721659/?search_id=162896888095522krf56ssvl
4,Кладовщик-комплектовщик,69 000 — 117 000 руб.,https://www.rabota.ru/vacancy/44725292/?search_id=162896888095522krf56ssvl
5,Менеджер по работе с клиентами,50 000 — 150 000 руб.,https://www.rabota.ru/vacancy/43595334/?search_id=162896888095522krf56ssvl
6,Слесарь механосборочных работ,70 000 — 80 000 руб.,https://www.rabota.ru/vacancy/44722970/?search_id=162896888095522krf56ssvl
7,Автоэлектрик,до 105 000 руб.,https://www.rabota.ru/vacancy/44603412/?search_id=162896888095522krf56ssvl
8,Врач-неонатолог,от 140 000 руб.,https://www.rabota.ru/vacancy/44489120/?search_id=162896888095522krf56ssvl
9,Слесарь-сборщик,85 000 — 90 000 руб.,https://www.rabota.ru/vacancy/44627020/?search_id=162896888095522krf56ssvl
10,Машинист автогрейдера,80 000 — 100 000 руб.,https://www.rabota.ru/vacancy/44712347/?search_id=162896888095522krf56ssvl
11,Электросварщик РД НАКС,132 000 — 158 000 руб.,https://www.rabota.ru/vacancy/44701021/?search_id=162896888095522krf56ssvl
12,Стикеровщик на склад алкоголя,45 000 — 80 000 руб.,https://www.rabota.ru/vacancy/44673386/?search_id=162896888095522krf56ssvl
13,Комплектовщик,90 000 — 120 000 руб.,https://www.rabota.ru/vacancy/44715269/?search_id=162896888095522krf56ssvl
14,Инженер ПТО,от 95 000 руб.,https://www.rabota.ru/vacancy/44211508/?search_id=162896888095522krf56ssvl
15,Сварщик арматурных каркасов,100 000 — 110 000 руб.,https://www.rabota.ru/vacancy/44705021/?search_id=162896888095522krf56ssvl
16,Комплектовщик,90 000 — 100 000 руб.,https://www.rabota.ru/vacancy/44718163/?search_id=162896888095522krf56ssvl
17,Слесарь-сборщик двигателей,90 000 — 95 000 руб.,https://www.rabota.ru/vacancy/44675777/?search_id=162896888095522krf56ssvl
18,Работник склада,67 150 — 81 236 руб.,https://www.rabota.ru/vacancy/44675977/?search_id=162896888095522krf56ssvl
19,Машинист автокрана,от 131 000 руб.,https://www.rabota.ru/vacancy/44589838/?search_id=162896888095522krf56ssvl
