Вакансия,Зарплата,Ссылка,Сайт
Пекарь,27 000 — 35 000 руб.,https://perm.rabota.ru/vacancy/44646059/,https://perm.rabota.ru/
Швея-закройщик/портной на массовое производство,15 000 руб.,https://perm.rabota.ru/vacancy/44645374/,https://perm.rabota.ru/
Инструктор-методист по спорту,15 000 — 17 000 руб.,https://perm.rabota.ru/vacancy/44641736/,https://perm.rabota.ru/
Продавец-консультант мебели,25 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/43513514/,https://perm.rabota.ru/
Менеджер по туризму,20 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/44238052/,https://perm.rabota.ru/
Дворник,13 000 — 18 000 руб.,https://perm.rabota.ru/vacancy/44659713/,https://perm.rabota.ru/
Главный бухгалтер,35 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44513056/,https://perm.rabota.ru/
Водитель-экспедитор категории B,от 28 000 руб.,https://perm.rabota.ru/vacancy/44710445/,https://perm.rabota.ru/
Медицинская сестра в медицинский центр,от 22 000 руб.,https://perm.rabota.ru/vacancy/43261261/,https://perm.rabota.ru/
Повар-лепщик /Пельменщик,15 000 — 20 000 руб.,https://perm.rabota.ru/vacancy/44687149/,https://perm.rabota.ru/
Сиделка (помощник по уходу),15 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/42206464/,https://perm.rabota.ru/
Менеджер по продажам,по договоренности,https://perm.rabota.ru/vacancy/44667561/,https://perm.rabota.ru/
Продавец-консультант,30 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/44542458/,https://perm.rabota.ru/
Бухгалтер,от 30 000 руб.,https://perm.rabota.ru/vacancy/44598496/,https://perm.rabota.ru/
Менеджер по продажам,от 50 000 руб.,https://perm.rabota.ru/vacancy/44682111/,https://perm.rabota.ru/
Заместитель директора кафе,25 000 — 35 000 руб.,https://perm.rabota.ru/vacancy/38422426/,https://perm.rabota.ru/
Слесарь-ремонтник,от 35 000 руб.,https://perm.rabota.ru/vacancy/44542269/,https://perm.rabota.ru/
Учитель начальных классов,от 25 000 руб.,https://perm.rabota.ru/vacancy/44703079/,https://perm.rabota.ru/
Грузчик,от 25 000 руб.,https://perm.rabota.ru/vacancy/44681977/,https://perm.rabota.ru/
Директор магазина,от 46 000 руб.,https://perm.rabota.ru/vacancy/44022234/,https://perm.rabota.ru/
Продавец-консультант,30 000 — 49 000 руб.,https://perm.rabota.ru/vacancy/44263779/,https://perm.rabota.ru/
Горничная на теплоход,от 30 000 руб.,https://perm.rabota.ru/vacancy/44713098/,https://perm.rabota.ru/
Фасовщик(ца) на склад овощей (вахта),64 150 — 74 200 руб.,https://perm.rabota.ru/vacancy/44675559/,https://perm.rabota.ru/
Проходчик (подземный) 5-6 разряда / Горнорабочий,от 110 000 руб.,https://perm.rabota.ru/vacancy/44657759/,https://perm.rabota.ru/
Продавец-кассир,от 18 000 руб.,https://perm.rabota.ru/vacancy/44678322/,https://perm.rabota.ru/
Маляр по металлу,от 83 000 руб.,https://perm.rabota.ru/vacancy/43576556/,https://perm.rabota.ru/
Комплектовщик(ца) /Фасовщик(ца),50 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/43306933/,https://perm.rabota.ru/
Автослесарь,60 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/44600383/,https://perm.rabota.ru/
Комплектовщик,от 198 000 руб.,https://perm.rabota.ru/vacancy/44695717/,https://perm.rabota.ru/
Инженер-конструктор,по договоренности,https://perm.rabota.ru/vacancy/44397980/,https://perm.rabota.ru/
"Токарь (16К20, ДИП 300-500)",от 92 000 руб.,https://perm.rabota.ru/vacancy/44696401/,https://perm.rabota.ru/
Диспетчер горный,от 50 000 руб.,https://perm.rabota.ru/vacancy/43951403/,https://perm.rabota.ru/
Грузчик на склад в аэропорт,72 000 — 144 000 руб.,https://perm.rabota.ru/vacancy/44636123/,https://perm.rabota.ru/
Грузчик на рохле(Вахта),80 000 — 92 000 руб.,https://perm.rabota.ru/vacancy/44527172/,https://perm.rabota.ru/
Охранник,40 000 — 54 000 руб.,https://perm.rabota.ru/vacancy/43875635/,https://perm.rabota.ru/
Инженер по подготовке производства (Сургутский район),от 60 000 руб.,https://perm.rabota.ru/vacancy/44562835/,https://perm.rabota.ru/
Сиделка / санитар/ка (вахта),56 250 руб.,https://perm.rabota.ru/vacancy/44571280/,https://perm.rabota.ru/
Машинист автокрана,от 131 000 руб.,https://perm.rabota.ru/vacancy/44589838/,https://perm.rabota.ru/
Прораб электромонтажных работ,90 000 — 130 000 руб.,https://perm.rabota.ru/vacancy/44587768/,https://perm.rabota.ru/
Комплектовщик (Вахта),46 800 — 65 000 руб.,https://perm.rabota.ru/vacancy/44642306/,https://perm.rabota.ru/
Машинист вездехода ТРЭКОЛ,от 80 000 руб.,https://perm.rabota.ru/vacancy/44642188/,https://perm.rabota.ru/
Бетонщик,от 100 000 руб.,https://perm.rabota.ru/vacancy/44726342/,https://perm.rabota.ru/
Сортировщик (Вахта),55 000 — 60 000 руб.,https://perm.rabota.ru/vacancy/44681738/,https://perm.rabota.ru/
Машинист автомобильного крана-манипулятора,70 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/43625259/,https://perm.rabota.ru/
Слесарь-сборщик двигателей,90 000 — 95 000 руб.,https://perm.rabota.ru/vacancy/44675777/,https://perm.rabota.ru/
Рамщик,40 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/43910934/,https://perm.rabota.ru/
Комплектовщик,до 65 000 руб.,https://perm.rabota.ru/vacancy/44666486/,https://perm.rabota.ru/
Продавец-консультант,от 30 000 руб.,https://perm.rabota.ru/vacancy/44679570/,https://perm.rabota.ru/
Менеджер по работе с клиентами (удаленно),37 500 — 78 000 руб.,https://perm.rabota.ru/vacancy/44721325/,https://perm.rabota.ru/
Горничная,43 000 — 45 000 руб.,https://perm.rabota.ru/vacancy/44722141/,https://perm.rabota.ru/
Грузчик-комплектовщик на склад обуви,45 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/44714794/,https://perm.rabota.ru/
Оператор АБЗ,от 60 000 руб.,https://perm.rabota.ru/vacancy/44191028/,https://perm.rabota.ru/
Комплектовщик,от 65 000 руб.,https://perm.rabota.ru/vacancy/44704819/,https://perm.rabota.ru/
Резчик по металлу,от 51 000 руб.,https://perm.rabota.ru/vacancy/44660199/,https://perm.rabota.ru/
Мастер цеха,по договоренности,https://perm.rabota.ru/vacancy/44013116/,https://perm.rabota.ru/
Слесарь по ремонту автотранспорта,до 100 000 руб.,https://perm.rabota.ru/vacancy/44720975/,https://perm.rabota.ru/
Слесарь,48 000 — 52 000 руб.,https://perm.rabota.ru/vacancy/44721591/,https://perm.rabota.ru/
Сборщик заказов,от 51 000 руб.,https://perm.rabota.ru/vacancy/44723840/,https://perm.rabota.ru/
Кладовщик,от 75 000 руб.,https://perm.rabota.ru/vacancy/43810031/,https://perm.rabota.ru/
Машинист экскаватора,80 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/44710484/,https://perm.rabota.ru/
