file_name,file_urls,price
Краска Tikkurila Euro Power-7 цвет белый 9 л база А,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/11601215.jpg",4 972
Грунтовка антисептическая Tikkurila «Valtti Primer» 9 л бесцветная,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/18562378.jpg",5 398
Эмаль ПФ-115 Простокраска цвет белый 5 кг,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/18522000.jpg",506
Краска экологичная Tikkurila Joker цвет белый 9 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/11601354.jpg",7 868
Антисептик Pinotex Standard цвет тиковое дерево 9 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/18739372.jpg",4 256
Краска Tikkurila Euro-20 база А 2.7 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/12355095.jpg",1 946
Антисептик Pinotex Standard цвет палисандр 9 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/18739399.jpg",4 256
Краска для стен кухни и ванной Luxens база A 10 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/81963491.jpg",2 258
Краска интерьерная Tikkurila Harmony цвет белый 9 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/11601426.jpg",8 976
Краска для потолков цвет белый 10 кг,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/82276532.jpg",216
Огнебиозащитный пропиточный состав для древесины Akvateks DIY I и II-я группа эффективности цвет индикаторный розовый 11 кг,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/82167113.jpg",698
Краска водно-дисперсионная Dufa Schimmelschutzfarbe 10 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/15364325.jpg",4 038
Краска для фасадов Luxens 10 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/17136300.jpg",1 824
Фасадная краска Dulux Classic Colour BW 10 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/17115402.jpg",4 456
Краска Tikkurila Euro Power-7 база А 2.7 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/11601207.jpg",1 280
Антисептик Tikkurila Vinha 9 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/12252002.jpg",9 641
Краска для обоев Dulux Classic Colour база BW 10 л,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/18886831.jpg",4 275
Эмаль ПФ-115 Эконом полуматовая цвет белый 20 кг,"https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/82174356.jpg",1 881
"Штукатурка декоративная «Короед» Dufa Reibeputz, 20 кг","https://res.cloudinary.com/lmru/image/upload/f_auto,q_auto,w_1200,h_1200,c_pad,b_white,d_photoiscoming.png/LMCode/11736099.jpg",1 898
