Название,Цена,Ссылка
Кресло руководителя МЕТТА Samurai Comfort-1.01 Жемчужно-белый,18 102 ₽,https://www.onlinetrade.ru/catalogue/kompyuternye_kresla-c133/metta/kreslo_rukovoditelya_metta_samurai_comfort_1.01_zhemchuzhno_belyy_z310800236-2355329.html
"Источник бесперебойного питания APC Back-UPS BC650-RSX761, 650ВА, 360Вт",6 690 ₽,https://www.onlinetrade.ru/catalogue/istochniki_bespereboynogo_pitaniya-c153/apc/istochnik_bespereboynogo_pitaniya_apc_back_ups_bc650_rsx761_650va_360vt-563210.html
Видеокамера безопасности Xiaomi Mi 360° Home Security Camera 2K MJSXJ09CM (BHR4457GL) X29048,3 450 ₽,https://www.onlinetrade.ru/catalogue/ip_kamery_dlya_doma-c6606/xiaomi/videokamera_bezopasnosti_xiaomi_mi_360_home_security_camera_2k_mjsxj09cm_bhr4457gl_x29048-2582892.html
"Полуботинки детские ортопедические TWIKI TW-445 черно-серый, размер 34",2 120 ₽,https://www.onlinetrade.ru/catalogue/detskaya_ortopedicheskaya_obuv-c2227/twiki/polubotinki_detskie_ortopedicheskie_twiki_tw_445_cherno_seryy_razmer_34_tw_445_34-2097565.html
Кофеварка Kitfort КТ-759 (2 в 1) капельного типа,1 690 ₽,https://www.onlinetrade.ru/catalogue/kapelnye_i_sifonnye_kofevarki-c77/kitfort/kofevarka_kitfort_kt_759_2_v_1_kapelnogo_tipa-2462080.html
"Монитор Philips 271S7QJMB (00/01) 27"" Black",16 020 ₽,https://www.onlinetrade.ru/catalogue/monitory-c23/philips/monitor_philips_271s7qjmb_00_01_27_black-1128606.html
"Гриль GoGarden Barbeque 47 угольный, круглый",3 800 ₽,https://www.onlinetrade.ru/catalogue/grili_pechi-c422/gogarden/gril_gogarden_barbeque_47_ugolnyy_kruglyy_50134_gogarden-2503396.html
Солнечное покрывало для бассейнов INTEX EASY SET и METAL FRAME 488см (29024),3 250 ₽,https://www.onlinetrade.ru/catalogue/aksessuary_dlya_basseynov-c3442/intex/solnechnoe_pokryvalo_dlya_basseynov_intex_easy_set_i_metal_frame_488sm_29024_29024_intex-2075446.html
"Дрель-шуруповерт аккумуляторная BLACK+DECKER BDCDD12USB, без АКБ и ЗУ",2 079 ₽,https://www.onlinetrade.ru/catalogue/dreli_shurupoverty_akkumulyatornye-c849/black_decker/drel_shurupovert_akkumulyatornaya_black_decker_bdcdd12usb_bez_akb_i_zu_bdcdd12usb_xj-2045567.html
Биотуалет торфяной компостирующий Piteco 506,6 370 ₽,https://www.onlinetrade.ru/catalogue/biotualety-c1954/piteco/biotualet_torfyanoy_kompostiruyushchiy_piteco_506-624323.html
Микроволновая печь BBK 20MWS-713M/W,3 990 ₽,https://www.onlinetrade.ru/catalogue/mikrovolnovye_pechi-c49/bbk/mikrovolnovaya_pech_bbk_20mws_713m_w-470584.html
Фен Moser 4350-0050 Ventus,3 590 ₽,https://www.onlinetrade.ru/catalogue/professionalnye_feny-c4446/moser/fen_moser_4350_0050_ventus-942468.html
